-9.7963,159.596,14,7
-4.9559,100.738,25,6.9
-20.0508,-178.346,579,7
-19.2918,-172.129,37,7.3
-25.5948,178.278,624.464,6.6
-26.0442,178.381,660,7
-25.9678,178.363,630.379,6.8
7.6712,-82.3396,20,6.7
18.33,-102.913,20,6.8
18.3667,-103.252,26.943,7.6
23.1444,121.307,10,6.9
23.029,121.348,10,6.5
-21.2077,170.239,137,7
-6.2237,146.471,116,7.6
29.7263,102.279,12,6.6
-32.6922,-178.959,30,6.6
17.5978,120.809,33.729,7
-9.0618,-71.1647,622.73,6.5
-14.8628,-70.3081,236,7.2
-54.1325,159.027,10,6.9
-23.6141,-66.7236,220,6.8
11.5538,-86.9919,27,6.6
-22.5732,170.349,10,7
-22.72,170.277,10,6.9
23.3421,121.636,24,6.7
37.7015,141.587,41,7.3
-0.6831,98.6034,28,6.7
-30.0528,-177.74,24,6.6
-23.7852,-179.968,535,6.8
-4.455,-76.9395,110,6.5
-29.535,-176.729,8,6.5
-6.9291,105.251,33,6.6
52.502,-168.08,37,6.5
52.502,-168.08,37,6.5
52.6252,-168.15,19,6.6
52.48,-167.736,33,6.7
52.48,-167.736,33,6.7
52.6563,-167.917,20,6.8
35.1456,31.9095,21,6.6
37.8167,101.299,13,6.6
-7.5924,127.581,165.49,7.3
-7.6033,122.2,14.27,7.3
-4.4898,-76.8461,126,7.5
23.5414,126.48,12,6.6
56.2581,-156.492,51.6,6.9
-21.1704,174.54,535,6.9
-21.1036,174.895,527,7.3
12.1598,-87.8542,21,6.5
16.9502,-99.7877,20,7
-60.3026,-24.9992,6,7.1
-60.1023,-24.4608,7,6.6
-14.892,167.085,93,6.9
-58.3814,-23.3318,16.7,6.9
18.3521,-73.4804,10,7.2
55.2364,-157.707,33.3,6.9
55.2657,-157.68,20.74,6.9
-58.4157,-25.3206,22.79,8.1
-57.5959,-25.1874,47.23,7.5
6.4547,126.742,55.14,7.1
55.4742,-157.917,46.66,8.2
55.3154,-157.829,35,8.2
13.6989,120.713,110,6.7
7.5904,-82.8813,10,6.7
-30.2144,-177.773,25,6.5
-16.4796,-177.356,10,6.5
34.5861,98.2551,10,7.3
0.1684,96.6475,11,6.7
-17.2495,66.3745,10,6.7
38.2296,141.665,43,6.9
