lat,long,depth,xm
40.05,35.77,8,3.7
38.82,39.98,7,3.5
40.32,33.83,16,3.8
39.35,27.89,6,3.9
40.56,33,10,3.7
38.78,39.93,9,3.7
40.43,37.37,7,3.5
37.66,36.37,1,4.2
39.49,26.14,5,3.6
38.93,35.7,10,3.5
39.14,27.89,17,4.1
38.03,30.98,9.4,3.6
39.93,40.78,6.2,3.6
39.44,33.08,3.9,3.7
39.51,28.08,9.8,3.5
40.26,27.11,15.2,3.5
37.86,30.71,3.6,3.9
39.24,40.41,5,4.3
39.13,29.05,5.2,3.8
38.8,43.07,28,4.2
38.81,43.37,5.2,3.9
38.68,43.36,2.6,3.5
39.35,29.02,3.9,4.6
37.24,42.48,5.3,3.8
39.01,27.73,11.8,3.8
41.1,42.7,5,5.5
38.95,27.82,5,4
37.08,29.61,19,4
37.87,27.55,4,3.6
39.94,42.05,10,4.2
40.78,30.06,11,3.5
38.95,40.46,5,3.8
41.25,32.09,10,3.6
39.89,40.66,5,3.8
39.09,29.03,5,3.8
38.76,43.51,5,3.6
38.89,43.6,5,4.5
38.82,43.58,1.1,3.6
40.61,28.95,5.7,3.7
40.58,35.16,10,5.5
38.53,28.19,10,5.8
39.6,43.1,30,5.3
39.6,43.1,30,5.7
39.64,35.25,50,6.2
41.04,34.88,20,5.5
40.74,31.44,40,5.3
41.08,29.93,80,4.8
39.03,31.14,2,4.8
38.6,29.3,33,5.3
37.54,29.97,36,4.5
37.59,29.89,5,3.6
39.56,32.03,0,3.6
40.11,38.93,39,4.4
37.97,28.01,5,4.2
40.26,27.95,11,3.8
39.34,28.14,0,3.8
37.89,28.56,0,3.6
39.29,29.1,7,3.5
39.27,41.88,33,4.3
38.33,39.26,9,4.2
38.13,31.1,0,3.5
39.36,27.95,1,3.5
37.3,30.8,10,3.5
37.29,27.57,2,3.6
40.69,27.08,25,3.5
36.76,35.1,15,4
35.98,36.19,10,4
40.16,32.08,8,3.7
39.63,28.53,5,3.6
40.63,33.03,0,3.6
40.78,30.66,5,3.5
37.16,27.59,10,3.8
37.68,27.55,10,4
38.43,39.14,4,3.9
37.78,27.59,8.7,3.6
39.9,41.25,2.9,3.5
41.33,42.46,8,3.5
38.44,39,5.5,3.6
37.86,29.6,15.6,3.6
39.37,32.43,5,3.5
40.44,42.34,5,3.5
40.14,28.95,4.9,3.5
39.13,44.05,11.9,3.7
39.11,29.03,5.4,3.8
39.11,29.11,3.6,3.6
38.88,43.65,2.9,4
38.75,43.3,5,4.2
38.77,43.24,6.7,3.6
38.71,43.2,5.2,4.5
39.52,28.86,7.4,3.7
38.82,37.84,5,3.7
39.02,27.7,7.7,3.5
37.57,38.44,8.1,4
38.01,42.63,5,4.2
41.5,28,12,4.7
39.28,42.01,60,4.9
40.83,30.53,39,4.7
38.89,30.18,28,4.5
39.7,28.9,5,3.9
36.96,28.94,23,4.7
39.11,29.21,51,4.1
39.34,27.67,0,3.6
40.96,42.87,30,5
39.24,29.22,11,3.5
39.37,27.88,10,3.9
39.45,33.19,23,4.9
37.1,27.9,0,3.7
40.14,29.35,12,4.9
40.16,29.3,18,4.3
40.67,42.25,10,4.7
37.1,27.9,0,3.8
36.91,31.67,16,4.2
38.75,27.74,14,4.3
39.59,32.16,10,3.7
37.17,30.95,132,4.1
39.53,28.7,10,3.7
36.88,30.48,5,3.5
38.06,37.85,10,3.6
38.62,27.34,10,3.5
38.81,26.98,10,4.1
36.13,36.08,23,5
39.62,40.99,0,3.6
38.42,39.22,8,4
40.09,27.25,9,3.5
38.28,39.74,31,3.5
40.74,33.03,0,3.7
40.71,30.77,14,4.1
40.63,33.05,0,3.7
40.93,33.55,0,4
38.53,44.15,10,4.1
39.83,42.24,10,4.1
39.86,42.65,22,3.7
37.66,35.84,10,3.5
39.6,43.82,11,3.7
38.42,39.22,10,4.5
38.12,38.59,6.1,3.5
40.68,34.89,9.2,3.8
38.01,42.72,5,3.7
39.37,27.88,26,3.8
39.6,42.77,4.9,3.5
38.7,39.45,5,3.8
39.11,29.04,5.7,3.5
39.13,29.09,6.4,4.3
39.13,29.1,4.2,3.5
37.36,35.87,16.3,4.5
38.75,43.22,4.4,3.8
38.78,43.36,3.1,3.5
38.94,43.74,6,3.7
38.83,43.03,5,3.5
38.51,43.4,6,3.8
39.95,41.74,5,4.1
38.71,44.06,5,4
37.29,37.02,5,4.1
37.04,28.43,4,4.9
37.34,37.14,3.1,3.5
39.73,41.6,5,3.8
39.15,29.05,5.2,3.7
39.73,42.3,5,3.6
39.36,26.92,7,3.5
38.69,43.32,5,3.5
38.8,29.06,7.2,5
38.7,29.5,5,3.6
40.48,41.68,10,4.6
40.18,29.36,10,3.6
39.02,41.08,8,3.5
38.27,27.07,9,3.5
38.96,40.56,8,3.5
39.96,40.82,6,3.7
39.45,33.18,5,3.5
39.12,29.68,10,4.4
39.7,28.54,10,4
37.56,29.93,33,4.7
37.46,29.85,12,4.5
39.73,27.81,2,3.9
39.73,27.81,2,3.7
40.22,27.78,15,3.8
40.11,38.87,0,3.6
37.36,36.19,3,3.9
39.33,27.68,5,3.5
37.85,33.87,5.7,3.7
37.58,35.8,18,3.7
39.7,38.74,5,3.9
38.45,39.33,12.9,3.8
38.69,43.38,3,4.1
40.56,35.25,5,3.9
37.81,29.52,40,4.7
38.07,27.55,0,3.5
39.35,27.94,10,4.2
40.13,28.85,2,3.7
39.79,39.43,37,5
37.8,29.2,25,3.6
40.37,31.33,10,4.3
38.13,30.04,6,3.7
36.38,35.95,5,3.5
37.75,41.16,13,3.7
38.41,39,3,3.6
39.89,29.26,8,3.5
39.39,32.95,10,3.5
38.59,39.66,10,3.7
37.51,38.68,3,3.5
37.71,43.97,14.6,3.5
38.03,38.17,6.1,4.2
37.3,31.1,32.1,3.8
37.8,29.2,6.1,3.8
38.82,40.16,3,4.4
40.72,32.81,5.4,3.5
38.82,43.63,5,4.2
38.69,43.63,6.2,4.6
38.68,43.17,5,3.5
38.91,43.53,5,4.1
38.82,37.83,1.2,3.6
37.11,35.7,60,6
38.27,38.99,80,5.5
40.58,30.7,10,4.4
39.24,40.29,41,5.3
39.3,28.2,10,4.4
38.6,27.2,5,3.8
39.92,26.16,10,4.1
38.91,29.06,14,4.9
39,29.3,5,3.5
37.61,30,15,3.5
41.75,32.48,5,4.4
37.44,29.79,28,4.3
39.32,27.65,10,4
40.86,42.1,37,4.5
40.6,29.3,10,3.8
38.96,31.28,0,3.7
38.51,27.44,0,3.5
40.1,27.76,14,3.7
38.34,38.97,25,4.2
40.5,27.49,10,4.5
37.03,28,15,4
39.21,28.49,10,3.6
38.4,30.6,5,3.6
39.96,29.16,8,4.2
37.03,28,10,3.5
40.31,27.05,5,3.7
38.92,27.21,10,3.6
37.95,30.5,2,3.5
37.03,28,2,3.9
39.2,40.4,10,4.2
37.13,27.62,0,3.7
37.83,29.19,9,3.6
40.73,35.26,7,3.5
40.12,37.74,4,3.7
37.94,27.36,1,3.5
39.71,41.98,11,4.4
39.97,34.02,1,3.6
39.18,40.19,0,3.5
39.02,40.49,10,3.5
39.02,40.49,10,3.6
39.3,28.2,10,4.1
38.9,43.65,10,3.8
39.98,27.73,14,3.5
37.19,27.82,10,3.6
40.83,26.43,10,4.2
39.1,27.92,10.4,3.6
37.83,29.19,10,4.2
37.71,37.47,3,3.6
39.58,28.84,6.2,3.6
37.86,29.16,5,3.6
39.6,27.4,10.7,3.5
39.24,41.33,4.3,3.8
37.4,29.54,9.5,4.8
36.87,31.3,117.6,3.5
39.26,42.75,7.5,3.5
38.76,43.34,7.2,4.5
38.75,43.23,10,3.9
38.78,43.28,4.7,4.6
38.89,43.58,6,3.7
38.89,43.59,5,3.8
38.58,30.96,5.5,3.7
36.99,36.73,7.4,3.9
38.79,43.64,3.2,3.6
37.32,37.12,8.1,5.1
39.43,28.25,13.8,3.5
40.15,27.08,12.9,4.4
39.53,29.12,5.4,3.8
37.57,38.53,8.9,3.8
40.13,30.72,10,5.8
39.97,27.45,20,4.9
40,40.9,20,4.8
38.8,41.4,33,4.8
40.11,28,0,3.6
38.68,40.65,38,4.9
38.33,26.56,8,3.7
38.08,29.54,10,3.7
37.93,27.64,6,3.8
40.16,29.33,10,3.5
36.93,29.4,9,3.6
38.96,31.3,0,3.6
37.99,38.04,10,4.3
39.34,29.01,9,3.7
37.22,35.9,10,3.7
38.39,31.14,9,3.6
37.86,27.36,5,3.5
38.44,27.32,9,3.7
37.56,36.22,5,3.5
35.99,36.05,6,4.6
40.32,35.14,10,5.2
40.04,39.16,2,3.6
39.07,27.8,19,3.5
37.31,27.85,1,3.9
37.98,38.41,5,3.7
40.7,32.99,5,5.6
37.01,30.38,9,3.6
38.39,42.86,16,3.9
37.19,36.44,10,3.9
39.3,41.1,10,3.5
39.56,39.74,5,3.5
37.93,27.64,13,3.5
40.36,37.38,7,4
39.09,40.4,5,4
39.38,40.87,12.7,3.7
38.03,28.44,5,3.5
39.12,29.1,9.5,4.1
38.84,43.51,5,4.5
38.69,43.38,4,3.8
38.67,43.2,16,3.5
39.42,35.32,4.1,3.9
38.81,43.67,5,4.2
38.78,29.06,3.4,3.8
41.17,33.25,10,5.4
39.61,27.15,37,4.7
39.2,28.3,19,3.9
38.94,27.2,0,3.8
38.42,40.5,10,5
38.04,27.58,10,3.9
37.87,27.47,1,3.5
38.19,27.73,5,3.5
40.63,29.55,9,3.6
37.83,29.46,7,4.3
38.72,40.13,13,4.1
36.83,36.22,31,3.5
40.85,30.03,9,3.6
40.38,32.93,10,4.4
37.14,36.33,15.1,3.8
38.44,39.11,6.5,3.7
36.94,29.24,8.7,3.5
38.4,35.07,5,3.6
39.12,29.04,8.6,4.5
38.75,43.25,4.6,4.1
38.69,31.04,5,3.8
40.07,36.43,10,5.9
38.27,39.16,50,5.4
40.02,27.83,10,4.8
39.32,28.19,10,5.2
39.59,39.1,10,4.3
40,44.1,15,4.4
38.7,29.2,88,4.7
39.1,29.5,5,3.9
39.1,29.5,5,4
37.13,30.28,30,4.8
39.1,29.5,5,3.5
39.85,27.16,5,3.7
37.8,27.4,0,3.5
40.61,32.88,0,3.9
38.59,28.18,10,4.1
37.74,28.8,22,3.8
39.45,28.32,5,3.8
37,29.41,2,3.6
37,29.41,5,3.7
38.29,28.08,23,3.7
41.02,33.42,10,3.8
39.37,27.36,10,3.6
36,36.14,20,3.9
37.89,27.32,5,3.6
37.02,35.73,10,3.6
38.06,38.33,6,3.7
40.78,30.7,14,3.9
39.06,41.62,0,3.5
37.08,36.8,2,3.7
39.13,27.92,7,3.7
39.13,27.92,5,3.6
38.31,43.23,15,3.8
40.67,35.21,5,3.8
39.93,33.46,6,3.6
37.49,36.39,13,3.5
38.97,40.51,5,3.7
38.1,28.86,9,3.6
37.45,36.95,8,3.5
39.89,40.77,10,3.6
39.89,40.77,10,3.7
37.31,27.87,15,4.2
40.62,27.66,16.4,3.8
36.76,27.62,5.6,3.8
38.57,40.86,3.5,3.6
37,29.19,8.8,3.7
39.73,33.35,5,4.2
36.75,31.62,24.5,3.6
39.11,28.94,5,3.6
38.75,43.55,5,4.6
38.72,43.41,5,7.2
38.8,43.49,4.7,3.6
38.7,43.4,5,3.7
38.85,43.52,4.5,3.6
38.61,43.21,4,3.5
38.92,43.58,6,3.5
38.1,38.99,5,3.5
38.7,43.35,2.6,3.6
37.31,37.09,7.1,3.8
38.92,43.56,5,3.8
39.55,35,4.8,3.5
38.63,27.61,11.8,3.8
37.12,28.63,5,3.5
39.41,28.45,6.4,4.3
39.7,39.55,10,4.9
39.74,39.43,70,5.9
39.55,28.58,10,6.1
38.74,39.67,10,4.9
41.13,30.65,70,4.8
40.3,28.23,34,7
39.1,41.75,46,4.8
40.33,28.63,4,4.6
40.25,27.75,5,3.9
39.5,29.2,5,3.7
39.52,27.78,10,4.3
37.54,29.91,24,4.9
37.11,27.31,0,3.8
39.48,27.38,4,4.2
40.47,29.79,0,3.5
39.12,43.91,44,4.9
38.87,27.19,0,3.5
37.43,29.93,0,3.6
41.05,42.95,3,4.5
37.05,30.25,0,3.5
37.85,27.4,7,4.2
38.72,31.2,10,3.6
37.1,27.98,10,3.6
36.8,30.2,5,3.7
37.85,27.4,10,3.5
38.94,27.23,4,3.5
37.37,29.77,10,3.8
37.53,36.81,10,4.2
40.72,27.33,10,3.6
40.5,29.32,5,3.8
37.49,36.06,0,3.7
40.76,35.37,3,3.8
40.69,35.32,5,3.5
41.16,34.41,0,3.6
38.18,41.09,0,3.9
40.61,33.07,1,4
39.53,36.83,8,4
40.64,30.65,15,5.5
40.73,31.5,10,4.3
38.4,42.86,0,3.5
37.98,28.96,8,3.5
37.91,36.39,10,3.9
40.33,33.77,7,3.9
38.75,30.94,3,3.5
38.86,40.53,10,4
39,40.43,10,4.3
40.79,31,8,3.8
38.13,28.86,9,3.6
38.31,38.85,12,3.7
39.43,40.96,24.1,3.5
38.55,40.75,6.2,3.5
37.55,38.7,4.1,3.5
38.57,43.48,10.5,3.7
39.01,29.75,5.3,3.5
37.8,27.43,5,3.8
38.23,40.47,5,3.5
39.69,27.54,12.5,4.9
39,42.3,5,4.5
39,42.3,5,3.5
39.11,29.04,5.6,4.6
38.91,43.61,5,4.2
38.91,43.6,5,3.5
37.03,29.05,5,3.6
36.45,29.5,50.4,3.8
39.54,26.13,5.8,3.5
37.12,28.6,6,3.7
38.21,36.85,5,3.7
40.67,30.69,33,6.8
39.12,28.2,51,4.8
39.24,29.37,10,3.6
39.51,26.17,6,3.8
36.94,28.71,0,3.6
39.31,28.18,10,3.6
40.64,29.94,5,3.5
37.86,27.38,15,3.7
36.86,35.65,8,4
39.34,27.76,8,3.5
40.7,30.45,5,3.5
38.42,42.89,8,3.8
37.55,38.69,5,3.5
38.72,43.21,6,4.1
38.92,43.59,6,3.9
38.78,43.54,5,4.1
40.69,34.86,1.8,3.6
38.83,37.85,7.1,5.1
38.18,27.8,10,6.5
40,27.5,12,4.9
40,27.5,5,3.9
39.4,27.6,0,3.8
37.6,37.15,64,4
39.11,27.83,11,3.6
38.66,39.79,0,3.6
39.4,27.6,10,3.8
38.64,39.91,6,4.4
39.54,28.43,17,3.6
39.97,40.8,10,3.6
39.59,42.78,5,3.6
39.58,42.81,3.8,3.5
39.1,41.82,5,3.6
41.06,34.31,33,4.5
38.51,40.77,32,6.6
38.39,40.63,18,4.5
41.3,33.3,10,3.8
38.08,30.1,2,3.5
38.08,30.1,6,3.8
37.52,37.25,1,3.5
38.96,40.44,15,3.8
38.17,41.13,6,4.3
37.03,36,2,3.6
39.7,37,0,3.6
36.73,31.52,5,3.8
36.58,29.07,10,3.5
39.97,39.72,5.1,3.6
38.74,43.3,12.6,4.3
39.93,42.94,6.9,3.9
37.45,35.75,18.7,4.7
40.81,33.3,10,5.2
41.08,33.18,40,5.2
40.71,30.78,10,4.9
36.7,28.7,30,4.9
40.1,31.3,5,3.9
38.78,28.51,40,5.1
39.13,29,10,4.2
39.13,29.53,42,4.9
40.4,26.5,0,3.6
36.7,28.7,0,3.9
39.06,29,11,4
37,27.26,0,3.5
39.36,27.99,3,4.2
39.78,28.68,10,4
40.88,31.04,9,3.7
37.92,28.87,3,4.6
37.05,28.35,30,3.7
40.27,29.28,10,3.5
36.55,29.31,10,3.5
37.98,38,10,4.4
37.75,39.3,10,3.6
38.73,27.82,10,3.6
37.92,30.92,6,3.6
37.02,29.37,10,3.7
39.1,27.6,10,3.7
38.54,29.33,6,3.5
38.9,29.96,5,3.5
39.12,28.87,10,3.8
37.29,27.77,0,3.6
39.83,41.88,0,4
37.25,27.85,1,3.6
40.82,30.92,16,4.4
40.88,31.23,7,4.8
40.73,30.82,5,4
39.55,36.98,1,3.6
40.75,31.1,10,5.2
40.49,37.24,5,3.5
39.36,27.99,13,3.5
40.82,30.92,7,3.5
40.53,33.08,0,3.6
40.45,42.6,8,3.5
37.19,27.56,0,3.5
38.38,42.79,5,4.1
39.48,41.66,1,3.8
36.77,35.11,6,3.5
37.94,38.18,5,3.5
40.74,30.66,9,4.1
40.89,35.91,3,3.6
38.07,42.07,10,3.6
38.69,39.79,5,3.6
40.87,31.05,10,3.9
39.66,39.66,6,3.6
40,42.2,5,3.7
38.44,39.29,5,3.5
37.92,30.93,5,3.5
38.22,26.68,5,3.5
37.06,29.19,5,3.5
41.14,33.52,2.5,3.5
37.79,29.2,5,3.9
37.24,31.18,31.7,3.7
38.67,43.22,5,3.8
38.82,43.57,5,3.9
38.88,43.59,5,3.7
38.67,43.17,5,4.2
37.33,37.17,11.3,3.7
39.48,39.88,5,3.5
39.02,30.01,5,3.8
38.69,43.2,5,4.2
39.79,41.75,1.6,3.6
39.5,26.12,13.3,5.2
40,42,30,5.3
40,42,30,5.5
40,42,30,5.2
40,42,30,5.2
40,42,5,4.9
40,42,10,4.9
40,42,30,5.3
37.55,44.25,10,5.2
38.11,29.65,10,4.9
38.4,41.2,172,4.7
40.4,30.4,46,4.5
39.05,29.62,28,4.8
37.85,28.68,0,3.5
39.52,26.45,0,3.5
37.23,28.31,0,3.5
38.85,27.8,10,3.9
38.04,28.95,10,4.3
38.92,31.5,10,3.5
38.09,28.72,10,3.5
40.79,42.48,19,5.3
38.97,35.54,33,4.2
40.2,33.8,10,4.2
39.43,28.03,19,3.9
37.81,29.29,12,3.5
37.69,37.08,10,4.2
39.45,28.42,17,3.5
37.35,37.04,0,3.5
38.73,39.98,5,4.6
39.61,38.44,0,3.5
41.09,35.01,21,4
41.05,35.57,84,3.9
37.52,29.92,7,3.6
40.42,31.1,39,3.5
40.72,35.4,2,3.6
39.78,28.54,13,3.6
40.74,30.03,16,3.7
40.74,30.03,17,4.2
40.74,31.4,10,4.8
37.92,28.94,5,3.5
38.89,40.01,2,3.6
38.03,39.14,10,3.6
36.77,27.83,8,4.5
37.3,35.06,6,3.8
39.45,40.26,4,3.8
39.44,39.7,3,3.7
38.04,28.95,7,3.6
39.93,40.78,10,3.5
38.45,39.13,10,3.6
39.84,41.86,5,3.7
39.13,27.93,13.8,3.6
39.7,37.39,5,3.9
38.31,26.88,5.3,3.5
38.74,40.02,6,4.1
38.96,43.64,5,3.9
39.11,29.09,5.2,3.7
38.75,27.27,11.8,3.7
38.53,43.85,1,3.7
38.61,43.67,1.4,3.5
40.07,30.52,5,4.2
38.13,38.51,3,6
38.7,27.92,23,4.9
40.7,27.2,10,4.3
39.22,28.97,22,4.5
38.98,31.52,10,4.4
37.93,31.01,10,3.7
37.02,27.43,0,3.5
37.02,27.43,1,3.7
38.35,40.04,0,3.8
40.74,30.27,22,5.7
39.32,27.9,11,4.2
39.73,41.62,20,4.3
38.17,41.12,7,3.6
38.23,28.81,12.2,3.6
39.12,29.04,5.6,3.6
37.54,38.44,17.7,3.7
38.9,41.5,131,4.3
36.98,31.04,109,5.2
39.29,29.24,36,4.9
37.57,30.06,33,4.4
39.29,29.24,2,4
38.58,40.55,44,4.2
37.98,27.7,0,3.6
39.88,29.19,5,3.6
39.32,28.83,8,4.2
40.1,29.41,7,4
40.68,42.41,36,4.6
37.99,29.6,10,3.5
36.9,29,4,3.5
37.64,29.75,20,3.5
40.15,29.65,5,3.7
38.15,30.02,0,3.6
39.47,39.93,21,3.8
40.85,34.88,5,3.5
37.28,36.31,10,3.6
38.02,42.57,0,3.7
40.83,30.08,5,3.6
40.83,30.78,9,3.7
41.05,33.2,0,3.5
39.05,39.07,9,3.5
40.79,30.81,15,3.6
36.75,34.51,32,3.5
38.43,39.2,8,3.7
40.67,32.95,5,3.8
39.03,40.49,6,3.9
39.03,40.49,7,3.5
39.03,40.49,8,3.8
39.28,28.25,8,3.5
39.01,28.03,16,3.6
38.65,39.64,5,3.6
40.79,30.99,5,3.9
37.76,43.74,7.6,3.9
37.76,43.74,23.8,3.8
37.05,27.81,11.7,3.5
37.04,35.75,21.6,3.5
38.51,39.31,5,4.3
37.09,34.6,8.1,3.6
39.11,29.01,5,3.5
38.58,43.26,5,3.5
38.7,43.47,3.9,4.3
38.64,43.22,5,3.5
38.91,43.57,5,3.6
39.85,42.96,8.6,3.9
38.78,43.53,5,3.9
38.03,42.73,3.3,4.1
39.54,26.11,9.9,3.7
38.1,28.8,30,4.9
38.1,42.61,55,4.7
38.99,41.77,32,5.5
40.1,35.4,78,4.9
39.14,29.8,58,4.4
40.83,27.19,5,3.6
37.5,29.57,49,4.7
37.11,36.85,35,5.3
39.11,40.11,71,4.4
37.58,29.76,34,4.7
38.54,28.7,5,3.6
39.06,29.62,10,3.7
38.41,36.1,10,3.8
37.52,35.85,47,5.1
36.5,29.3,10,3.9
38.96,27.78,1,3.5
38.64,40,10,3.7
38.91,40.53,10,4.2
39.09,44.1,40,4.6
40.65,34.77,10,4.1
37.2,29.4,1,3.5
40.12,40.07,22,5
37.07,29.51,14,3.9
38.39,27.14,25,3.6
38.86,27.86,5,3.5
40.45,28.01,14,3.8
39.35,33.46,5,3.6
40.05,38.76,4,3.8
36.88,28.97,0,3.6
40.58,33.64,25,3.7
38.12,30.13,0,3.7
38.14,30.07,5,3.9
38.14,30.07,7,3.6
38.12,30.13,3,3.5
38.77,39.62,26,3.5
37.83,29.28,8,3.6
40.76,30.64,1,4.1
40.65,31.38,16,3.9
37.04,27.9,4,3.7
37.44,36.35,9,3.6
36.98,34.59,10,3.6
38.68,39.13,7,3.9
39.05,40.34,5,3.6
38.13,28.83,6,4.1
38.39,38.99,10,3.5
40.65,36.52,1,4
39.96,40.83,10,4
39.96,40.83,10,3.7
38.16,41.25,5,3.5
39.92,40.86,1,3.7
38.8,39.94,15,3.5
39.42,40.82,5,3.6
37.01,28.31,9.2,4.3
38.34,39.17,5.8,3.5
39.07,41.96,5,3.6
38.92,39.55,2,3.5
39.67,38.7,7.5,3.9
38.64,43.74,5,4
39.14,29.1,6.4,4.3
39.64,43.72,2.4,3.9
39.36,33.81,5.4,3.6
37.02,36.99,9.9,3.7
39.93,40.59,2.3,3.5
37.21,42.46,7.8,3.7
38.87,43.52,5,3.7
37.27,38.65,5.4,3.7
39.55,26.12,10.6,4.8
38.75,27.84,7.8,4.4
38.1,27.4,30,5.4
38.1,27.4,15,5
38.1,27.4,15,4.4
39,43,12,4.9
39,43,9,4.3
40.47,30.61,39,4.3
38.91,30.01,29,4.5
38.1,27.4,5,3.6
40.17,27.32,10,3.5
39.54,28.39,11,3.5
41.81,32.51,10,3.7
36.7,30,24,3.6
38.1,27.4,5,3.6
39.12,27.62,10,3.6
39.39,27.5,12,3.5
38.82,27.3,8,3.6
38.44,39.24,0,4.1
38.06,41.1,12,3.5
40.64,33.11,8,3.6
39.73,39.57,8,3.5
38.03,38.68,10,3.5
38.77,39.93,10,3.8
39.68,39.52,3.1,3.6
39.46,33.18,5,3.6
38.05,38.78,4.6,3.5
38.39,39.31,5,3.5
39.18,29.03,5.3,3.6
39.61,29.37,56,4.2
37.62,30.03,38,3.5
38.8,40.7,58,4.6
37.29,29.36,0,3.6
39.37,29.84,10,3.5
40.17,29.26,7,3.7
39.07,27.99,1,3.5
38.64,29.1,1,3.5
40.7,30.33,7,3.5
39.9,39.85,9,4
38.05,38.36,2,3.6
40.78,33.03,2,3.5
40.66,29.43,5,3.7
40.45,32.46,6,3.9
39.13,28.83,11.3,3.6
37.07,29.16,5,3.5
38.04,30.12,5,3.7
38.42,43.68,3.7,4
37.47,35.75,10.6,3.9
39.03,30.05,5,3.8
39.28,40.21,5,3.5
37.03,27.87,0,3.6
37.85,30,17,4.2
38.71,27.49,10,3.8
37.18,35.67,28,4.1
39.81,26.83,10,3.5
40.35,26.41,9,3.6
40.48,35.85,12.3,3.6
40.03,39.74,2.3,3.5
40.68,30.61,5,3.5
38.75,43.6,9,5.1
38.63,43.21,6,4.6
37.5,29,15,4.5
37.5,29,15,5.4
37.5,29,15,5.3
37.5,29,28,5.2
37.5,29,15,5.4
37.5,29,15,6.3
41.3,43.1,31,4.8
41,37,5,4.4
39.1,27.8,50,6
37.65,36.76,40,5.3
38.16,38.98,26,5.2
40.79,30.42,4,5
40.64,30.52,4,4.4
39.11,28.51,30,5.3
39.18,42.55,66,4.9
38.1,29.2,33,5
39.08,29.5,42,4.4
38.8,29.7,45,4.7
38.8,29.7,73,4.3
39.3,30.2,5,3.8
37.57,29.89,3,3.6
39,29.8,5,3.9
37.4,36.06,59,4.3
40.8,33.4,5,3.7
37.57,29.89,10,3.7
37.94,27.99,10,4.3
38.83,27.86,1,3.7
37.5,29,10,4.1
39.71,29.01,10,3.5
37.45,29.53,17,4.5
38.98,28.74,0,3.6
37.1,28.58,13,3.5
37.04,27.93,8,4
39.97,30.9,0,3.6
36.83,29.52,10,3.5
39.72,39.63,23,6.8
38.16,38.98,11,4.7
40.18,29.67,8,3.6
38.09,30.1,9,3.5
38.09,30.1,0,3.6
37.76,37.57,0,3.5
39.77,40.04,24,4.2
38.95,35.72,5,4.6
40.25,32.18,11,3.8
39.53,27.78,13,3.5
40.64,30.52,11,4.2
40.8,31.01,8,4.2
38.15,42.65,0,3.6
38.1,42.39,10,3.5
40.72,30.61,6,4
38.2,26.97,10,3.6
40.1,26.63,10,3.7
38.32,37.7,10,3.5
37.7,44.6,11.5,3.9
38.62,30.78,5,4.5
38.47,39.51,10,3.6
37.08,36.16,11.9,3.6
38.77,40.05,5,4
38.41,39.23,5,3.5
40.79,30.66,3.5,3.9
39.9,41.83,5,4
38.88,27.13,2.5,3.5
38.7,42.38,5,3.9
38.96,29.88,5,3.6
38.72,43.3,5.3,4.2
38.76,43.34,5,3.5
40.83,34.88,9.5,3.6
39.4,33.81,5.4,3.5
37.58,43.56,5,3.8
40.25,27.02,4.8,3.6
38.54,41,50,5.9
41.21,33.53,20,5.3
40.17,27.88,10,5.3
38.7,28.5,38,4.7
36.78,29.32,35,5
41.66,32.47,18,4.6
39.02,28.9,25,4.7
39.11,29.68,21,4.4
39.88,41.28,50,3.8
38,28.03,10,4.2
39.66,28.61,10,3.8
38.97,29.25,0,4.1
38.56,27.72,10,3.5
40.33,27.23,6,4.1
39.39,28.32,10,3.5
39.63,39.69,22,4.6
37.35,27.9,12,3.7
40.01,40.13,1,4.1
36.79,28.16,74,3.5
40.26,29.35,14,3.5
36.58,36.43,6,3.6
40.73,31,7,3.7
40.75,31.12,10,4.2
40.69,32.98,0,4.3
39.32,27.83,7,3.6
38.68,31.25,3,3.9
37.96,28.82,10,3.5
38.21,39.38,10,3.7
38.23,26.83,16,3.8
39.91,40.71,10,3.8
39.91,40.71,10,4
39.9,40.86,10,3.5
39.78,40.74,10,3.9
39.35,41.03,7,3.5
40.54,32.98,5.4,3.8
40.97,33.29,6.4,4.4
37.53,44.23,5,3.6
38.43,39.32,5.3,3.5
39.34,27.73,7.9,4.4
37.59,38.5,5.4,3.6
37.15,30.95,100.8,3.5
38.74,27.27,9.3,3.6
37.92,28.86,2,3.5
39.39,38.4,7.9,3.5
38.75,40.03,5,3.5
37.9,27.37,5,3.5
38.88,43.61,6,3.8
38.75,43.41,5,3.6
38.09,37.11,4.6,4.2
38.21,27.06,13.3,4
39.68,27.85,5.5,4
38.9,38.27,2.9,3.7
38.84,27.16,13.4,3.8
37.53,38.48,12.5,3.8
38.84,40.16,7.5,3.6
38.66,27.53,11.3,4.1
40.63,30.36,33,4.9
40,30.5,0,3.6
39.17,28.92,3,3.7
37.89,29.36,10,3.5
36.93,35.68,0,4.2
40.72,30.95,10,4.8
41.19,36.87,1,3.5
38.22,35.19,5,3.5
36.87,30.71,67,3.5
39.62,39.67,14.7,3.5
38.38,39.22,10,3.5
38.6,41.1,66,4.5
38.74,44.19,40,4.9
41.78,32.45,33,4.4
39.08,28.65,20,4.8
39.08,28.44,42,5
37.78,29.91,6,4.8
39.07,29.76,32,5.3
39.03,29.49,37,4.5
39.11,29.57,28,4.5
37.55,29.86,32,4.8
39.72,28.83,5,3.6
